"МО (КОД)","МО (НАИМЕН.)","СМО (код)","СМО (наим.)","Кол-во счетов","Сумма"
"01001","МБУЗ ""Амбулатория №3 УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 502","197 255,50"
"01001","МБУЗ ""Амбулатория №3 УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","48","5 960,02"
"01001","МБУЗ ""Амбулатория №3 УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","380","22 524,22"
"01001","МБУЗ ""Амбулатория №3 УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 248","81 242,26"
"01006","МБУЗ ""Детская городская больница УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","34 602","12 818 459,84"
"01006","МБУЗ ""Детская городская больница УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","86","9 181,82"
"01006","МБУЗ ""Детская городская больница УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","3 476","1 412 503,36"
"01006","МБУЗ ""Детская городская больница УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","8 120","3 520 676,20"
"01007","МАУЗ ""Стоматологическая поликлиника УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 632","2 109 008,82"
"01007","МАУЗ ""Стоматологическая поликлиника УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","16","9 825,96"
"01007","МАУЗ ""Стоматологическая поликлиника УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","180","139 627,10"
"01007","МАУЗ ""Стоматологическая поликлиника УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","936","761 057,92"
"01010","МБУЗ ""Центр медицинской профилактики УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 240","2 188 929,36"
"01010","МБУЗ ""Центр медицинской профилактики УЗАМО город-курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","8","8 780,04"
"01010","МБУЗ ""Центр медицинской профилактики УЗАМО город-курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","156","160 955,36"
"01010","МБУЗ ""Центр медицинской профилактики УЗАМО город-курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","616","641 168,68"
"01017","МБУЗ ""Городская больница УЗАМО город - курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","39 136","36 079 347,08"
"01017","МБУЗ ""Городская больница УЗАМО город - курорт Анапа""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","224","171 907,50"
"01017","МБУЗ ""Городская больница УЗАМО город - курорт Анапа""","1707","Краснодарский филиал ООО ВТБ МС","1 200","4 055 422,78"
"01017","МБУЗ ""Городская больница УЗАМО город - курорт Анапа""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","12 170","11 294 632,68"
"01023","МБУЗ ""Амбулатория №8 УЗАМО город-курорт Анапа""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 636","423 783,74"
